"doc_id","paragraph_id","chunk_id","chunk","text_id"
"file.pdf","Howgeneral is expertise?",11,"Howgeneral is expertise?
If the chemical senses are easier to communicate about for experts who have perceptual expertise and training in smells and flavors, like the wine and coffee experts in this study, then smells and flavors should be more linguistically codable for them than they are for novices. And this should be true regardless of the specific smells and flavors. That is, if wine or coffee expertise is equivalent to the kind of ' expertise ' the hunting-gathering Jahai have, then experts should be better at describing smells (and flavors) regardless of the source. If, on the other hand, expertise is limited, i.e., experts only have domain-specific expertise, then wine experts should show higher codability for wines; coffee experts for coffee; and neither group should differ from each other, or the novices, on basic odors and tastes. Finally, if the kind of language games around expertise is important (e.g., how often people write and talk about their domain of expertise), we might expect wine experts to show higher codability than coffee experts, because they engage in discussions over their specialty more often and receive more varied input.","file.pdf~Howgeneral is expertise?~11"
"file.pdf","Ethics statement",12,"Ethics statement
Each participant was informed about the purpose and methods of the study, and written consent was obtained before the experiment began. The study was approved by the institutional Ethics Assessment Committee of Radboud University.
PLOSONE|DOI:10.1371/journal.pone.0155845 June 20, 2016
4/21
Experts ' Flavor Naming","file.pdf~Ethics statement~12"
"file.pdf","Participants",13,"Participants
Sixty-three participants (22 women, M age = 43.7 years, SD = 11.7, age range: 24 -70 years) including wine experts, coffee experts, and novices participated in the experiment (see Table 1). Participants were actively recruited by approaching experts in stores, word-of-mouth, via websites and e-mail, and social media. Participants were not paid, but were reimbursed for travel as appropriate.
All participants were native speakers of Dutch, except for one wine expert, who moved from France to the Netherlands at a young age and spoke Dutch at near-native level. They were otherwise relatively homogenous. Wine experts had a vinologist degree and/or worked as a qualified, experienced vinologist or sommelier (cf. [39,46]). Coffee experts worked as qualified baristas, coffee roasters, or coffee brokers. The only criterion for novices was consumption of at least one glass of wine and one cup of coffee per week, to ensure they were familiar with the smell and flavor of both. In fact, the groups differed in wine and coffee consumption. Wine experts consumed significantly more wine than coffee experts or novices, χ 2 (6, N = 65) = 24.0, p = .001, Cramer ' s V = .43, while coffee experts consumed more coffee than wine experts or novices, χ 2 (6, N = 65) = 12.3, p = 0.056, Cramer ' s V = .31.
To validate the expertise levels of the wine and coffee experts, each participant completed three questionnaires: the Wine Knowledge Test [38,39,52], Coffee Knowledge Test (constructed in analogy to the Wine Knowledge Test), and a shortened version of the Odor Awareness Scale [53].","file.pdf~Participants~13"
"file.pdf","Participants",14,"Participants
There was a significant difference between groups on the Wine Knowledge Test F (2, 60) = 75.24, p < .001, η 2 = .71. Pairwise comparisons showed wine experts had significantly higher scores ( M = 6.6, SD = 1.0) than coffee experts ( M = 2.5, SD = 1.2), p < .001, d = 3.71 (Bonferroni correction is applied to pairwise comparisons throughout as appropriate), and novices ( M = 3.0, SD = 1.4), p < .001, d = 2.96; while coffee experts and novices did not differ from each other p = .551. Similarly, the groups differed on the Coffee Knowledge Test F (2, 59) = 36.34, p < .001, η 2 = .59. Coffee experts had significantly more coffee knowledge ( M = 6.1, SD = 1.7) than wine experts ( M = 2.7, SD = 1.2), p < .001, d = 2.31, and novices ( M = 2.8, SD = 1.5), p < .001, d = 2.06; whereas scores of novices and wine experts did not differ, p = .694. Finally, the scores of the Odor Awareness Scale also differed across groups F (2, 59) = 9.07, p= .001, η 2 = .24: Novices had significantly lower scores ( M = 23.9, SD = 9.2) than wine experts ( M = 31.6, SD = 8.3), p = .001, d = .88, and coffee experts ( M = 30.3, SD = 5.7), p= .030, d = .84, but both expert groups were equally aware of their sense of smell in daily life, p = .460. This further confirms olfaction is more important for both expert groups than the ordinary person.","file.pdf~Participants~14"
"file.pdf","Materials",15,"Materials
Wines. The five red wines originated from different countries, had different vinification styles, and were chosen for their distinct flavor profiles (in consultation with a vinologist who did not participate in the study; see Table 2). The bottles were opened at least 20 minutes before each testing session, checked for faults (e.g., corkstain), kept at room temperature (20 ± 2°C) in
Table 1. Participant characteristics.","file.pdf~Materials~15"
"file.pdf","Materials",16,"Materials
Table 1. Participant characteristics.
Number, Wine experts = 22. Number, Coffee experts = 20. Number, Novices = 21. Gender (number of women), Wine experts = 7. Gender (number of women), Coffee experts = 8. Gender (number of women), Novices = 7. Mean age, Wine experts = 45.8. Mean age, Coffee experts = 38.9. Mean age, Novices = 45.9. Age Range, Wine experts = 29 - 61. Age Range, Coffee experts = 26 - 52. Age Range, Novices = 24 - 70","file.pdf~Materials~16"
"file.pdf","Materials",17,"Materials
doi:10.1371/journal.pone.0155845.t001
PLOSONE|DOI:10.1371/journal.pone.0155845 June 20, 2016
5/21
Experts ' Flavor Naming
Table 2. Wines and coffees used in the study.","file.pdf~Materials~17"
"file.pdf","Materials",18,"Materials
Table 2. Wines and coffees used in the study.
1, Name = Jean Bousquet Malbec. 1, Country of production = Argentina. 1, Coffee = 1. 1, Name = Santa Helena Caturra. 1, Country of production = Colombia. 2, Name = Zenato Valpolicella Superiore. 2, Country of production = Italy. 2, Coffee = 2. 2, Name = Kirimiro Red Bourbon. 2, Country of production = Burundi. 3, Name = Altos R Rioja Temperanillo. 3, Country of production = Spain. 3, Coffee = 3. 3, Name = Knots Family Heirloom varietals. 3, Country of production = Ethiopia. 4, Name = Vallon des Sources Vacqueyras. 4, Country of production = France. 4, Coffee = 4. 4, Name = Fazenda Rainha Yellow Bourbon. 4, Country of production = Brazil. 5, Name = Castello de Molina Cabernet Sauvignon. 5, Country of production = Chile. 5, Coffee = 5. 5, Name = Hacienda Sonora Villa Sarch ï. 5, Country of production = Costa Rica","file.pdf~Materials~18"
"file.pdf","Materials",19,"Materials
doi:10.1371/journal.pone.0155845.t002
between sessions, and were kept refrigerated overnight. New bottles were opened every three days. Approximately 50 ml of each wine was poured in numbered, transparent crystal wine glasses with a volume of 400 ml.
Coffees. Five types of coffee beans from different countries with single estate origin were chosen for their distinct flavor profiles, in analogy with the selected wines (Table 2). These were selected in consultation with a Specialty Coffee Association Europe (SCAE) certified coffee roaster who did not participate in the study. The coffees were roasted in the same way in one batch. Immediately after roasting, the beans were sealed in dark aluminum coated plastic bags, in small lots of 100 grams. To ensure freshness of the coffee, at most three hours prior to testing 13.5 grams of each coffee was weighed and ground medium-fine. New sealed bags of coffee were opened every three days. The experimenter was trained by an independent SCAE barista to prepare the coffee following the Specialty Coffee Association America (SCAA) guidelines for cupping [54]. The coffees were presented in double-walled transparent cups of 250 ml and covered with numbered porcelain saucers until preparation.
Comparability of wine and coffee stimuli. As stated, wines and coffees were chosen to be equally distinct from one another. To verify whether the relative perceptual differences between wines and coffees were comparable, a separate experiment was conducted. Twenty naïve participants (13 women, M age = 24 years, SD = 4.8, age range = 18 -38) were asked to sort the five wines and five coffees based on how similar they were to one another. Half the participants sorted wines first; half coffee first. Participants indicated similarity by placing the glasses containing the drink on an A2 (42x49 cm) sheet of paper. The closer 2 stimuli were placed next to each other, the more similar the participant deemed them to be. The xand ycoordinates of each stimulus were recorded in millimeters and transformed into interstimulus distances for each stimulus pair.","file.pdf~Materials~19"
"file.pdf","Materials",20,"Materials
The mean distance for wines ( M = 254, SD = 53) was not significantly different to the mean distance between coffees ( M = 237, SD = 55) across participants t (19) = 1.88, p = .074, indicating wines and coffees were comparably perceptually different to each other. There was also a significant correlation between the relative distances between wines and coffees, r (18) = .703, p < .001, so if a participant sorted wines with a small interstimulus distance, they sorted the coffees in a similar way.
To further explore the perceptual space the wines and coffees occupied, two separate Multiple Factor Analyses were performed using the R package FactoMineR [55,56]. For both stimulus types, the data was best fitted with a maximal, four-dimensional solution, with eigenvalues for the four dimensions explaining respectively 42.8%, 23.3%, 18.3%, and 15.6% of the variance for the wines, and 38.8%, 25.6%, 19.6%, and 15.9% of the variance for coffee. This also points to the relative perceptual comparability of the two stimulus sets.
Odor stimuli. Participants had to name ten different odors. The odors were presented using Sniffin ' Sticks [57], and were a mixture of edible and inedible objects, covering the pleasantness continuum. The odors were lemon, apple, garlic, rose, chocolate, clove, mushroom, grass, leather, and cinnamon.
PLOSONE|DOI:10.1371/journal.pone.0155845 June 20, 2016
6/21
Experts ' Flavor Naming
Taste stimuli. Atotal of eight taste solutions, sweet, salty, bitter and sour, in strong and weak concentrations, were prepared. Refined sugar (10 grams, 292mM, sucrose ), salt (7.5 grams, 1283mM, sodium chloride ), quinine (0.05 grams, 1.54mM, quinine hydrochloride ) and citric acid (5 grams, 237mM) were dissolved in 100 ml of filtered, boiled water to make strong solutions. Weak solutions were half the concentration [17,18,58,59].","file.pdf~Materials~20"
"file.pdf","Procedure",21,"Procedure
Participants started naming either the wines or coffees first (order counterbalanced). For wines, participants were instructed to first smell and taste each wine, without talking, to familiarize themselves with the stimuli. The participant was then asked: ' Could you smell the first wine and describe the smell as precisely as possible? ' (in Dutch: Wilt u nu de eerste wijn ruiken en de geur zo precies mogelijk beschrijven? ). After describing the smell, the participant was asked: ' Could you now taste the wine and describe the flavor as precisely as possible? ' ( Wilt u nu de wijn proeven en de smaak zo precies mogelijk beschrijven? ). They then moved to the next stimulus until complete. The coffee flavor naming task was the same, with a familiarization phase, followed by describing the smells and then the flavors.
After the wine and coffee naming tasks, participants completed the two expertise questionnaires and odor awareness questionnaire, and then participated in the odor and taste naming tasks. For the odor naming task, each odor pen was uncapped by the experimenter and handed to the participant with the instruction: ' Can you describe the smell as precisely as possible? ' ( Kunt u de geur zo precies mogelijk beschrijven? ). For the taste naming task, participants were first warned some of the sprays might taste unpleasant. The participants were instructed: ' Could you now spray the taste on your tongue, and describe what you taste? ' ( Wilt u nu de smaak op uw tong sprayen , en beschrijven wat u proeft? ). Participants were allowed to spray the tastant a second time if they wished. After each taste, participants drank some filtered water. All stimuli were presented in a fixed order within each block, and there was a delay of at least 20 seconds between them (following [60]). In practice, the interstimulus interval was between 30 and 35 seconds. The sessions took place in a well-lit, well-ventilated room. All answers were recorded using an audio-recorder.","file.pdf~Procedure~21"
"file.pdf","Data processing",22,"Data processing
Audio-recordings were transcribed, and coded separately for the smell and flavor of wine and coffee, the smell of odor stimuli, and taste of basic tastants. To recap, things that are codable in language should be (1) concise; (2) have dedicated terminology; (3a) be described consistently and (3b) correctly. We operationalized each of these measures as follows:
First, the length of the description was measured by counting the number of characters in the fully transcribed response. Short descriptions would indicate higher codability than longer descriptions.
Second, we coded the types of responses participants gave in order to test whether experts differed from novices in the strategies they used to describe smells and flavors. Three categories were identified: (1) Source-based terms, i.e., words referring to objects that could emit that odor or flavor, e.g. kersen ' cherries ' , fruitig ' fruity ' ; (2) Evaluative terms, i.e., words describing hedonic evaluation, e.g., lekker ' pleasant ' , mooi ' nice ' , gadverdamme ' disgusting ' , and (3) Nonsource-based terms, i.e., words not referring directly to an object. This latter category is included following Majid and Burenhult [21] who identified a third category of abstract or ' basic ' terms. In Dutch this includes terms such as aromatisch ' fragrant/aromatic ' and muf ' musty ' . Participants rarely used this strategy; however, they did use other non-source-based descriptions such as cross-modal metaphors (e.g., zoet ' sweet ' , bitter ' bitter ' , groen ' green ' ),
PLOSONE|DOI:10.1371/journal.pone.0155845 June 20, 2016
7/21
Experts ' Flavor Naming
reference to a general state (e.g., gekookt ' cooked ' ), or associations with events or situations (e.g., winters ' wintery ' , bij de slager ' at the butcher ' ). We could, therefore, test whether experts and novices differed in the extent to which they gave evaluations, referred to a concrete source, or gave more abstract non-source-based descriptions.","file.pdf~Data processing~22"
"file.pdf","Data processing",23,"Data processing
Finally, we measured if speakers agreed in how they described smells and flavors. One way to operationalize this is in terms of naming accuracy. This is applicable to basic odors and tastes for which a correct or veridical answer could be said to exist. But this does not apply to the wines and coffees, since descriptions for these refer to components of the smell and flavor profile, and there is no ' correct ' answer. Therefore for the wines and coffees, we calculated whether participants agreed with one another in their descriptions [21,51]. To do this, the main responses from the fully transcribed descriptions were identified. For example, a speaker gave the description for a wine displayed in Box 1.
From this description the main qualitative descriptors kersen ' cherries ' , amarena kersen ' amarena cherries ' , tannines ' tannins ' , bitter ' bitter ' , mooi ' nice ' , and houtlagering ' wood aging ' were coded. Modifiers and hedges were ignored unless their exclusion changed the quality description. For example, licht ' light ' in lichte tannines ' light tannins ' was not coded since light only indicates the strength of the taste (or confidence of the participant). But amarena kersen ' amarena cherries ' was coded as a whole response including amarena , because amarena cherries may have a different quality of smell than generic cherries. Repeated responses (e.g., when a person mentioned kersen twice, as in the example above) were only coded once. Once the main responses were identified, the consistency between speakers was calculated using Simpson ' s Diversity Index [61], a measure of diversity in a given population, or in this case, diversity of words, following Majid and Burenhult [21]. For the odor stimuli and basic tastants, where ' correctness ' can be determined, both agreement and accuracy were measured. Accuracy was measured by calculating the percentage of veridical answers.","file.pdf~Data processing~23"
"file.pdf","Are wines and coffees more codable for wine experts and coffee experts?",24,"Are wines and coffees more codable for wine experts and coffee experts?
Length. Items that are highly codable typically receive more concise descriptions. Is this true for how wine and coffee experts describe wines and coffees? To test this, a mixed ANOVA with expertise (wine experts, coffee experts, novices) and naming task (wine smell, wine flavor, coffee smell, coffee flavor) was conducted, separately over participants ( F1 ) and items ( F2 ).
Box 1. Example of a Dutch wine expert ' s description for the taste of Wine 4, the Vallon des Sources Vacqueyras from France.
Emkersen in de mond. Kersen, ja amarena kersen daar gaat het naartoe. Lichte tannines, beetje bitter, maar mooi. Denk dat hij wel wat houtlaging heeft gehad maar niet overheersend.
Em, cherries in the mouth. Cherries, yes, amarena cherries that ' s what it ' s heading off to. Light tannins, a little bit bitter, but nice. I think he had some wood aging, but it ' s not overpowering.
PLOSONE|DOI:10.1371/journal.pone.0155845 June 20, 2016
8/21
Experts ' Flavor Naming","file.pdf~Are wines and coffees more codable for wine experts and coffee experts?~24"
"file.pdf","Are wines and coffees more codable for wine experts and coffee experts?",25,"Are wines and coffees more codable for wine experts and coffee experts?
Overall, participants had more to say about the flavors than smells of wines and coffees, F1 (3, 180) = 22.87, p < .001, η p² = .28; F2 (3, 16) = 34.96, p < .001, η p² = .87. In addition, wine experts talked more than novices, who in turn talked more than coffee experts, F1 (2, 60) = 3.68, p = .031, η p² = .11; F2 (2, 32) = 75.29, p < .001, η p² = .83. There was also an interaction between expertise and naming task, F1 (6, 180) = 4.50, p < .001, η p² = .13; F2 (6, 32) = 12.75, p < .001, η p² = .71. Contrary to the prediction, wine experts said more about the smell of wine ( M = 307, SD = 213) than coffee experts ( M = 156, SD = 136), p = .008, d = .85, but not more than novices ( M = 232, SD = 203), p = .375. The same pattern was found for the flavor of wine: wine experts ( M = 423, SD = 200) gave longer descriptions than coffee experts ( M = 223, SD = 129), p = .001, d = 1.18, but their descriptions did not differ from novices ( M = 322, SD = 220), p = .139. Turning to coffee, there were no significant differences in the length of the smell descriptions between coffee experts ( M = 160, SD = 115), wine experts ( M = 205, SD = 161) or novices ( M = 215, SD = 185), all ps > .05. The same pattern was found for the flavor descriptions of coffee; again there was no difference between coffee experts ( M = 270, SD = 132), wine experts ( M = 301, SD = 154) or novices ( M = 261, SD = 170), all ps > .05. So, wine experts said more about wines than the other groups, but coffee experts said the same amount as wine experts and novices about coffees, and were more succinct in general.","file.pdf~Are wines and coffees more codable for wine experts and coffee experts?~25"
"file.pdf","Are wines and coffees more codable for wine experts and coffee experts?",26,"Are wines and coffees more codable for wine experts and coffee experts?
Strategy. Did the groups rely equally on evaluative, source-based, and non-source-based terms? The answer is no (see Fig 1). Descriptions for the smell χ 2 (4, N = 1115) = 21.80, p < .001, Cramer ' s V = .10, and flavor χ 2 (4, N = 1378) = 37.80, p < .001, Cramer ' s V= .12 of wine depended on expertise. Wine experts used fewer non-source-based terms (e.g., chemisch ' chemical ' ) for wine smells z = -3.0, p = .001, while coffee experts and novices used more non-sourcebased terms, z = 1.8, p = .036, and z = 2.0, p = .023, respectively. Wine experts also used more source-based descriptors (e.g., vanille ' vanilla ' ) for wine flavors z = 1.8, p = .036, and fewer non-source-based terms, z = -2.4, p = .008. Coffee experts used fewer evaluative terms for wine flavors z = -2.6, p = .005, while novices used more z = 3.4, p < .001. Novices also used fewer source-based descriptors for wine flavors z = -2.5, p = .006 than either the wine or coffee experts. So, overall, wine experts used more source-based descriptions to describe the smells and flavors of wines; coffee experts used fewer evaluative terms for wine flavor; while overall, novices used more evaluative descriptions.","file.pdf~Are wines and coffees more codable for wine experts and coffee experts?~26"
